2020-12-11 14:17:20.208 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 14:17:20.277 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 14:17:20.284 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 14:17:20.301 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
2020-12-11 14:17:24.757 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 14:17:24.827 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 14:17:24.834 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 14:17:24.851 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
2020-12-11 14:19:34.923 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 14:19:34.993 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 14:19:35.000 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 14:19:35.010 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
2020-12-11 14:20:40.205 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 14:20:40.275 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 14:20:40.282 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 14:20:40.293 [INFO ] com.it_cous.service.PISManager          [initMaster : 93] | -----PIS master info loading complete----- 
2020-12-11 14:21:36.146 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 14:21:36.214 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 14:21:36.221 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 14:21:36.231 [INFO ] com.it_cous.service.PISManager          [initMaster : 93] | -----PIS master info loading complete----- 
2020-12-11 14:24:28.371 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 14:24:28.441 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 14:24:28.449 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 14:24:28.460 [INFO ] com.it_cous.service.PISManager          [initMaster : 93] | -----PIS master info loading complete----- 
